Top 40 Sort By Count
 Count     Total    Mean  Stddev    Min  P50.0  P90.0  P95.0  P99.0    Max     2xx  3xx   4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
135881  1014.520  0.0075  0.0194  0.000  0.002  0.014  0.030  0.101  0.196  131375    0  4506    0        1386          0          0         14  POST /api/condition/<uuid> HTTP/2.0
 50074   252.728  0.0050  0.0082  0.000  0.003  0.011  0.017  0.040  0.210   49748    0   326    0   254220386          0       5076       6282  GET /api/condition/<uuid>?condition_level=*&end_time=* HTTP/2.0
  8966    22.408  0.0025  0.0038  0.000  0.001  0.005  0.008  0.018  0.060    8729    0   237    0   175583304         14      19583     114887  GET /api/isu/<uuid>/icon HTTP/2.0
  8614    70.015  0.0081  0.0122  0.000  0.005  0.016  0.023  0.058  0.237    8528    0    86    0    17593254          0       2042       3747  GET /api/isu HTTP/2.0
  8540    18.329  0.0021  0.0039  0.000  0.001  0.005  0.007  0.017  0.098    8303    0   237    0     1014010         14        118        141  GET /api/isu/<uuid> HTTP/2.0
  7420    66.756  0.0090  0.0101  0.000  0.007  0.018  0.024  0.053  0.150    7104    0   316    0    61860125          0       8336      11967  GET /api/isu/<uuid>/graph?datetime=* HTTP/2.0
  4747   252.824  0.0533  0.1929  0.000  0.000  0.007  0.461  1.000  1.006    4689    0    58    0    30059409          0       6332       9807  GET /api/trend HTTP/2.0
  3339     3.751  0.0011  0.0029  0.000  0.000  0.003  0.004  0.012  0.073    1648    0  1691    0       90732         21         27         39  GET /api/user/me HTTP/2.0
  2780     8.983  0.0032  0.0046  0.000  0.002  0.008  0.010  0.022  0.069    2702    0    78    0     5058185          3       1819       6282  GET /api/condition/<uuid>?condition_level=*&end_time=*&start_time=* HTTP/2.0
  2517     4.973  0.0020  0.0038  0.000  0.001  0.004  0.007  0.019  0.075    1885    0   632    0        7268          0          2         19  POST /api/auth HTTP/2.0
  1753     0.012  0.0000  0.0002  0.000  0.000  0.000  0.000  0.000  0.006    1753    0     0    0     1037776        592        592        592  GET /assets/favicon.d0f5f504.svg HTTP/2.0
  1753     0.066  0.0000  0.0008  0.000  0.000  0.000  0.000  0.000  0.021    1753    0     0    0    33422698      19066      19066      19066  GET /assets/index.144d8ca8.css HTTP/2.0
  1753     0.002  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.001    1753    0     0    0    46778805      26685      26685      26685  GET /assets/index.f8c2722b.js HTTP/2.0
  1753     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.000    1753    0     0    0     5758605       3285       3285       3285  GET /assets/logo_white.svg HTTP/2.0
  1753     3.379  0.0019  0.0114  0.000  0.000  0.000  0.007  0.054  0.130    1753    0     0    0  1303210001     743417     743417     743417  GET /assets/vendor.d5e1a410.js HTTP/2.0
  1752     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.000    1752    0     0    0      925056        528        528        528  GET / HTTP/2.0
  1752     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.000    1752    0     0    0     5760576       3288       3288       3288  GET /assets/logo_orange.svg HTTP/2.0
  1695     2.448  0.0014  0.0026  0.000  0.001  0.003  0.005  0.012  0.040    1614    0    81    0        1701          0          1         21  POST /api/signout HTTP/2.0
  1649     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.000    1649    0     0    0      870672        528        528        528  GET /?jwt=* HTTP/2.0
